date,ticker,open_p,entry,stop,target,exit_price,gross_pct,net_pnl,outcome,portfolio
2021-07-13,DLEKG.TA,19642.68170041454,19681.9671,19603.2392,19918.1507,19603.2392,-0.4,-163.85,stop,99141.85
2021-07-13,ENLT.TA,6820.0,6833.64,6806.3054,6915.6437,6806.3054,-0.4,-163.58,stop,98978.27
2021-07-14,AZRG.TA,25028.574252988048,25078.6314,24978.3169,25379.575,24978.3169,-0.4,-163.31,stop,98814.95
2021-07-14,PHOE.TA,3121.6279607882166,3127.8712,3115.3597,3165.4057,3115.3597,-0.4,-163.04,stop,98651.91
2021-07-28,ILCO.TA,102967.5596772214,103173.4948,102760.8008,104411.5767,102760.8008,-0.4,-162.78,stop,98489.13
2021-07-28,ESLT.TA,42997.34990399053,43083.3446,42911.0112,43600.3447,43600.3447,1.2,310.24,target,98799.37
2021-07-28,ICL.TA,2314.3046188518006,2318.9332,2309.6575,2346.7604,2309.6575,-0.4,-163.02,stop,98636.36
2021-07-29,ILCO.TA,102577.69310452063,102782.8485,102371.7171,104016.2427,102371.7171,-0.4,-162.75,stop,98473.61
2021-07-29,AZRG.TA,25428.391507836684,25479.2483,25377.3313,25784.9993,25784.9993,1.2,310.19,target,98783.8
2021-07-29,ICL.TA,2334.255088077229,2338.9236,2329.5679,2366.9907,2366.9907,1.2,311.17,target,99094.97
2021-08-02,AZRG.TA,26357.966451671513,26410.6824,26305.0397,26727.6106,26305.0397,-0.4,-163.51,stop,98931.46
2021-08-02,ILCO.TA,106066.58714675187,106278.7203,105853.6054,107554.065,107554.065,1.2,311.63,target,99243.09
2021-08-02,PHOE.TA,3186.495592251663,3192.8686,3180.0971,3231.183,3231.183,1.2,312.62,target,99555.71
2021-08-02,ICL.TA,2364.181414843101,2368.9098,2359.4341,2397.3367,2397.3367,1.2,313.6,target,99869.31
2021-08-03,TSEM.TA,9470.0,9488.94,9450.9842,9602.8073,9450.9842,-0.4,-164.78,stop,99704.53
2021-08-03,AZRG.TA,25808.21771836527,25859.8342,25756.3948,26170.1522,25756.3948,-0.4,-164.51,stop,99540.01
2021-08-04,ICL.TA,2368.1719570745786,2372.9083,2363.4167,2401.3832,2363.4167,-0.4,-164.24,stop,99375.77
2021-08-04,ILCO.TA,103657.34273284314,103864.6574,103449.1988,105111.0333,103449.1988,-0.4,-163.97,stop,99211.8
2021-08-04,ENLT.TA,7134.0,7148.268,7119.6749,7234.0472,7119.6749,-0.4,-163.7,stop,99048.1
2021-08-04,NICE.TA,88360.0,88536.72,88182.5731,89599.1606,88182.5731,-0.4,-163.43,stop,98884.67
2021-08-05,CAMT.TA,12699.45462006311,12724.8535,12673.9541,12877.5518,12673.9541,-0.4,-163.16,stop,98721.51
2021-08-05,NICE.TA,89220.0,89398.44,89040.8462,90471.2213,89040.8462,-0.4,-162.89,stop,98558.62
2021-08-10,CAMT.TA,12419.46737022673,12444.3063,12394.5291,12593.638,12593.638,1.2,310.46,target,98869.08
2021-08-10,TSEM.TA,9500.0,9519.0,9480.924,9633.228,9480.924,-0.4,-163.13,stop,98705.95
2021-08-10,NVMI.TA,32200.0,32264.4,32135.3424,32651.5728,32135.3424,-0.4,-162.86,stop,98543.08
2021-08-10,SKBN.TA,1877.8941650390625,1881.65,1874.1234,1904.2298,1904.2298,1.2,310.41,target,98853.49
2021-08-11,MZTF.TA,10177.274846499267,10197.6294,10156.8389,10320.0009,10156.8389,-0.4,-163.11,stop,98690.39
2021-08-11,AZRG.TA,25688.274220255298,25739.6508,25636.6922,26048.5266,26048.5266,1.2,310.87,target,99001.26
2021-08-11,FIBI.TA,10336.91015625,10357.584,10316.1536,10481.875,10316.1536,-0.4,-163.35,stop,98837.91
2021-08-11,POLI.TA,2636.1806988742965,2641.4531,2630.8872,2673.1505,2630.8872,-0.4,-163.08,stop,98674.83
2021-08-12,LUMI.TA,2628.794167998343,2634.0518,2623.5155,2665.6604,2623.5155,-0.4,-162.81,stop,98512.01
2021-08-12,TSEM.TA,9346.0,9364.692,9327.2332,9477.0683,9327.2332,-0.4,-162.54,stop,98349.47
2021-08-12,FIBI.TA,10386.795343191965,10407.5689,10365.9387,10532.4598,10532.4598,1.2,309.8,target,98659.27
2021-08-12,PHOE.TA,3187.4935573388007,3193.8685,3181.0931,3232.195,3232.195,1.2,310.78,target,98970.05
2021-08-16,BEZQ.TA,363.966563450165,364.6945,363.2357,369.0708,369.0708,1.2,311.76,target,99281.8
2021-08-16,DSCT.TA,1648.357196810172,1651.6539,1645.0473,1671.4738,1645.0473,-0.4,-163.81,stop,99117.99
2021-08-16,MZTF.TA,10366.852060574856,10387.5858,10346.0354,10512.2368,10512.2368,1.2,312.22,target,99430.21
2021-08-16,FIBI.TA,10556.418886571899,10577.5317,10535.2216,10704.4621,10535.2216,-0.4,-164.06,stop,99266.15
2021-08-18,MZTF.TA,10606.318307411124,10627.5309,10585.0208,10755.0613,10755.0613,1.2,312.69,target,99578.84
2021-08-18,ESLT.TA,46567.13869185581,46660.273,46473.6319,47220.1962,46473.6319,-0.4,-164.31,stop,99414.53
2021-08-18,FIBI.TA,10755.972659817351,10777.4846,10734.3747,10906.8144,10906.8144,1.2,313.16,target,99727.69
2021-08-18,BEZQ.TA,364.8649853922526,365.5947,364.1323,369.9819,369.9819,1.2,314.14,target,100041.83
2021-08-23,DSCT.TA,1703.302391456129,1706.709,1699.8822,1727.1895,1699.8822,-0.4,-165.07,stop,99876.76
2021-08-23,AZRG.TA,28187.132927996307,28243.5072,28130.5332,28582.4293,28582.4293,1.2,314.61,target,100191.37
2021-08-23,BEZQ.TA,379.3397643572261,380.0984,378.5781,384.6596,384.6596,1.2,315.6,target,100506.97
2021-08-23,ALHE.TA,4543.9622190263535,4553.0501,4534.8379,4607.6867,4534.8379,-0.4,-165.84,stop,100341.14
2021-08-24,DSCT.TA,1718.2873990430141,1721.724,1714.8371,1742.3847,1714.8371,-0.4,-165.56,stop,100175.58
2021-08-24,ALHE.TA,4608.8748662602375,4618.0926,4599.6202,4673.5097,4599.6202,-0.4,-165.29,stop,100010.29
2021-08-24,ISCN.TA,1369.613265991211,1372.3525,1366.8631,1388.8207,1366.8631,-0.4,-165.02,stop,99845.27
2021-08-24,CAMT.TA,12199.476618660143,12223.8756,12174.9801,12370.5621,12370.5621,1.2,314.51,target,100159.78
2021-08-25,CAMT.TA,12799.450943396227,12825.0498,12773.7496,12978.9504,12978.9504,1.2,315.5,target,100475.28
2021-08-25,ESLT.TA,46847.123106287225,46940.8174,46753.0541,47504.1072,46753.0541,-0.4,-165.78,stop,100309.5
2021-08-25,BEZQ.TA,384.7303779944057,385.4998,383.9578,390.1258,390.1258,1.2,315.97,target,100625.48
2021-08-25,ISCN.TA,1375.611457574654,1378.3627,1372.8492,1394.903,1372.8492,-0.4,-166.03,stop,100459.44
2021-08-26,MGDL.TA,454.0365927448482,454.9447,453.1249,460.404,453.1249,-0.4,-165.76,stop,100293.69
2021-08-30,ALHE.TA,4789.9541015625,4799.534,4780.3359,4857.1284,4780.3359,-0.4,-165.48,stop,100128.2
2021-08-30,FIBI.TA,11416.715765449439,11439.5492,11393.791,11576.8238,11576.8238,1.2,315.4,target,100443.6
2021-08-30,AMOT.TA,2297.2954750061035,2301.8901,2292.6825,2329.5127,2292.6825,-0.4,-165.73,stop,100277.87
2021-08-30,NICE.TA,94530.0,94719.06,94340.1838,95855.6887,94340.1838,-0.4,-165.46,stop,100112.41
2021-08-31,ALHE.TA,4793.949359143763,4803.5373,4784.3231,4861.1797,4784.3231,-0.4,-165.19,stop,99947.23
2021-08-31,CAMT.TA,13379.42531551618,13406.1842,13352.5594,13567.0584,13352.5594,-0.4,-164.91,stop,99782.32
2021-09-01,AZRG.TA,30026.29440490924,30086.347,29966.0016,30447.3832,30447.3832,1.2,314.31,target,100096.63
2021-09-01,FIBI.TA,11566.409541595012,11589.5424,11543.1842,11728.6169,11543.1842,-0.4,-165.16,stop,99931.47
2021-09-01,ALHE.TA,4780.9653842495145,4790.5273,4771.3652,4848.0136,4771.3652,-0.4,-164.89,stop,99766.58
2021-09-01,CAMT.TA,13329.427624045802,13356.0865,13302.6621,13516.3595,13302.6621,-0.4,-164.61,stop,99601.97
2021-09-02,AZRG.TA,30286.173931932826,30346.7463,30225.3593,30710.9072,30225.3593,-0.4,-164.34,stop,99437.63
2021-09-02,AMOT.TA,2337.248465461227,2341.923,2332.5553,2370.026,2332.5553,-0.4,-164.07,stop,99273.55
2021-09-02,CAMT.TA,13339.427110786899,13366.106,13312.6415,13526.4992,13312.6415,-0.4,-163.8,stop,99109.75
2021-09-02,ISCN.TA,1348.6190949954605,1351.3163,1345.9111,1367.5321,1345.9111,-0.4,-163.53,stop,98946.22
2021-09-09,AZRG.TA,30476.087973492573,30537.0401,30414.892,30903.4846,30414.892,-0.4,-163.26,stop,98782.96
2021-09-09,PHOE.TA,3492.8702011478863,3499.8559,3485.8565,3541.8542,3485.8565,-0.4,-162.99,stop,98619.97
2021-09-09,HARL.TA,3331.645799017249,3338.3091,3324.9559,3378.3688,3378.3688,1.2,310.65,target,98930.62
2021-09-09,MGDL.TA,460.33572676211486,461.2564,459.4114,466.7915,463.6353,0.516,108.55,eod,99039.17
2021-09-13,AMOT.TA,2477.0839049796746,2482.0381,2472.1099,2511.8225,2472.1099,-0.4,-163.41,stop,98875.75
2021-09-13,ALHE.TA,5065.606729252908,5075.7379,5055.435,5136.6468,5136.6468,1.2,311.46,target,99187.21
2021-09-13,DLEKG.TA,19692.536583195106,19731.9217,19652.994,19968.7047,19652.994,-0.4,-163.66,stop,99023.55
