ticker,direction,entry_time,entry_price,exit_time,exit_price,qty,position_val,stop_price,target_price,or_height,gross_pnl,commission,net_pnl,outcome
ICL.TA,long,2026-03-18 10:50:00+02:00,1669.0,2026-03-18 12:45:00+02:00,1687.0,14.83,24753.31,1655.0,1687.0,12.0,266.96,22.77,236.76,target
CAMT.TA,long,2026-03-18 12:25:00+02:00,50980.0,2026-03-18 14:00:00+02:00,50710.0,0.48,24692.84,50265.0,51565.0,390.0,-130.78,22.72,-160.9,eod
ICL.TA,long,2026-03-18 12:45:00+02:00,1689.0,2026-03-18 14:00:00+02:00,1664.0,14.65,24752.04,1655.0,1707.0,12.0,-366.37,22.77,-396.57,eod
DSCT.TA,long,2026-03-19 10:30:00+02:00,3450.0,2026-03-19 13:30:00+02:00,3423.0,7.13,24612.67,3423.0,3504.0,36.0,-192.62,22.64,-222.65,stop
POLI.TA,long,2026-03-19 10:30:00+02:00,7888.0,2026-03-19 14:00:00+02:00,7907.0,3.12,24612.67,7783.5,8027.5,93.0,59.29,22.64,29.26,eod
LUMI.TA,long,2026-03-19 10:30:00+02:00,7442.0,2026-03-19 14:00:00+02:00,7428.0,3.31,24612.67,7368.0,7589.0,98.0,-46.3,22.64,-76.33,eod
NICE.TA,long,2026-03-19 14:00:00+02:00,36610.0,2026-03-19 14:00:00+02:00,36610.0,0.67,24557.01,36325.0,37105.0,330.0,0.0,22.59,-29.96,eod
ESLT.TA,long,2026-03-20 10:55:00+02:00,298300.0,2026-03-20 13:25:00+02:00,295350.0,0.08,24537.75,295350.0,303850.0,3700.0,-242.66,22.57,-272.6,stop
TEVA.TA,long,2026-03-20 13:40:00+02:00,9208.0,2026-03-20 13:45:00+02:00,9208.0,2.66,24469.6,9156.0,9280.0,48.0,0.0,22.51,-29.85,eod
NVMI.TA,long,2026-03-20 13:40:00+02:00,151200.0,2026-03-20 13:45:00+02:00,151200.0,0.16,24469.6,147995.0,154395.0,2130.0,0.0,22.51,-29.85,eod
NVMI.TA,long,2026-03-25 11:15:00+02:00,154760.0,2026-03-25 13:10:00+02:00,153170.0,0.16,24454.67,153170.0,158150.0,2260.0,-251.25,22.5,-281.08,stop
POLI.TA,long,2026-03-25 13:25:00+02:00,7729.0,2026-03-25 14:00:00+02:00,7720.0,3.15,24384.4,7683.0,7837.0,72.0,-28.39,22.43,-58.14,eod
TEVA.TA,long,2026-03-25 13:55:00+02:00,9125.0,2026-03-25 14:00:00+02:00,9120.0,2.67,24384.4,9065.0,9215.0,60.0,-13.36,22.43,-43.11,eod
NICE.TA,long,2026-03-31 10:40:00+03:00,34700.0,2026-03-31 13:30:00+03:00,34440.0,0.7,24359.09,34440.0,35360.0,440.0,-182.52,22.41,-212.24,stop
